Timestamp,Destination MAC,Source MAC,Ether Type,Total Length,Source IP,Destination IP,PID,Source Port,Destination Port,Time Delta,Epoch
2024-10-23 14:06:58.283437,ffffffffffff,6c7e67d114b3,0800,0060,81155cd6,81155fff,11,fff0,0890,0,1729692418283
2024-10-23 14:06:58.283438,ffffffffffff,9a70b5d3a472,0800,00a2,0a76118c,0a76ffff,11,fff4,45c4,1e-06,1729692418283
2024-10-23 14:06:58.732332,01005e0000fb,ec2e987ac577,0800,003d,81156ca6,e00000fb,11,0fb1,4e91,0.448894,1729692418732
2024-10-23 14:06:58.734018,3333000000fb,ec2e987ac577,86dd,ccb7,00000000,255e56bb,80,0000,0000,0.001686,1729692418734
2024-10-23 14:06:58.736136,01005e0000fb,ec2e987ac577,0800,003e,81156ca6,e00000fb,11,0fb1,4e91,0.002118,1729692418736
2024-10-23 14:06:58.736137,333300000001,30b64f86fe2d,86dd,0000,00000000,02005eff,80,0000,0000,1e-06,1729692418736
2024-10-23 14:06:58.736142,01005e0000fc,300505bb1efd,0800,003d,81155c1f,e00000fc,11,0fce,1fb1,5e-06,1729692418736
2024-10-23 14:06:58.736531,01005e00000d,30b64f86fe2d,0800,0044,81155ffc,e000000d,67,0000,0000,0.000389,1729692418736
2024-10-23 14:06:58.736532,ffffffffffff,f40f241aaa42,0800,004e,81156c8c,81156fff,11,fff0,0890,1e-06,1729692418736
2024-10-23 14:06:58.736533,ffffffffffff,f40f241aaa42,0800,00ca,81156c8c,81156fff,11,fff0,08a0,1e-06,1729692418736
2024-10-23 14:06:58.736533,01005e0000fc,ac12034c2ff7,0800,003d,81155c6e,e00000fc,11,0fcc,56f1,0.0,1729692418736
2024-10-23 14:06:58.736534,01005e0000fc,e8fb1ca34673,0800,003d,81156dcc,e00000fc,11,0fcc,8071,1e-06,1729692418736
2024-10-23 14:06:58.736841,ffffffffffff,2e3d0a3a9fa2,0800,0044,0a763fe5,0a76ffff,11,fffe,115e,0.000307,1729692418736
2024-10-23 14:06:58.736842,ffffffffffff,2c6fc93a9e63,0800,0123,81155cbb,81155fff,11,fffd,683d,1e-06,1729692418736
2024-10-23 14:06:58.737285,333300000001,2c21314e6b78,86dd,0000,00000000,2e21310f,80,0000,0000,0.000443,1729692418737
2024-10-23 14:06:58.737286,333300000001,2c21314e6b78,86dd,0000,00000000,2e21310f,80,0000,0000,1e-06,1729692418737
2024-10-23 14:06:58.737797,3333000000fb,ec2e987ac577,86dd,41c1,00000000,255e56bb,80,0000,0000,0.000511,1729692418737
2024-10-23 14:06:58.749044,333300000016,0800271e364a,86dd,0000,00000000,dbdfce97,80,0000,0000,0.011247,1729692418749
2024-10-23 14:06:58.902638,ffffffffffff,12117ce54c9a,0800,0044,0a762ce3,0a76ffff,11,fffe,115e,0.153594,1729692418902
2024-10-23 14:06:58.902639,01005e0000fc,6ca100686ff7,0800,003d,81155d36,e00000fc,11,0fcc,ec81,1e-06,1729692418902
